LLMValidatorsTesting - Main.py
Namespace(input_filename=None, results_dir='/home/ldap/coccia@private.list.lu/oat_2024/MultimodalLLMs/MMLLMValidatorsTesting/data/results/PCL_Llama', MAX=100, random_choice=False, multimodal=True, models_list=[''], models_prefix='PCL_Llama', prompts_list=['Optimized_V1'], list_llms=False, list_prompts=False)
Initializing in MULTIMODAL mode.
🔧 Initializing MultimodalLLM_Service with configuration...
✅ OpenAI API key loaded successfully.

--- Processing Model: PCL_Llama32Vision11B ---
Running QID: 5, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 880, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 886, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 898, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 900, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 918, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 926, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 945, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 952, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 964, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 993, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 1002, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 1009, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 1014, PID: Optimized_V1, MID: PCL_Llama32Vision11B.
Running QID: 1029, PID: Optimized_V1, MID: PCL_Llama32Vision11B.

--- Processing Model: PCL_Llama4Scout ---
Running QID: 5, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 11, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 23, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 42, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 46, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 61, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 62, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 85, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 86, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 87, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 92, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 95, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 111, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 121, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 140, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 156, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 158, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 161, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 170, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 180, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 182, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 184, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 209, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 234, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 237, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 271, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 282, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 286, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 288, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 293, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 301, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 305, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 324, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 330, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 332, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 337, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 338, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 342, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 374, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 387, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 389, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 402, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 406, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 427, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 445, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 470, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 509, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 515, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 517, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 519, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 522, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 536, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 541, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 576, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 577, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 584, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 600, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 603, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 605, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 627, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 632, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 640, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 645, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 667, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 670, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 674, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 686, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 691, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 693, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 730, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 734, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 741, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 751, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 752, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 754, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 763, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 781, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 785, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 788, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 827, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 828, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 841, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 843, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 849, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 865, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 879, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 880, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 886, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 898, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 900, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 918, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 926, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 945, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 952, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 964, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 993, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 1002, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 1009, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 1014, PID: Optimized_V1, MID: PCL_Llama4Scout.
Running QID: 1029, PID: Optimized_V1, MID: PCL_Llama4Scout.

--- Finalizing Statistics and Reports ---
